"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Total Indústria";"Total";"2007";"1486399683";"868213326";"85799642";"2896996233";"1692149671";"167223690";"1,55804976751637"
"Indústria";"B Indústrias extrativas";"2007";"45324344";"19339659";"2307965";"88337246";"37693038";"4498229";"2,09373296579800"
"Setor";"05 Extração de carvão mineral";"2007";"808673";"381397";"104798";"1576105";"743344";"204252";"1,66326885303222"
"Sub_Setor";"05.0 Extração de carvão mineral";"2007";"808673";"381397";"104798";"1576105";"743344";"204252";"1,66326885303222"
"Setor";"06 Extração de petróleo e gás natural";"2007";"160941";"54960";"20286";"313674";"107117";"39537";"2,13886452436010"
"Sub_Setor";"06.0 Extração de petróleo e gás natural";"2007";"160941";"54960";"20286";"313674";"107117";"39537";"2,13886452436010"
"Setor";"07 Extração de minerais metálicos";"2007";"35089861";"15380798";"775433";"68390216";"29977209";"1511321";"2,17190884433381"
"Sub_Setor";"07.1 Extração de minério de ferro";"2007";"31635929";"14163803";"598736";"61658495";"27605283";"1166938";"2,14298698889127"
"Sub_Setor";"07.2 Extração de minerais metálicos não-ferrosos";"2007";"3453931";"1216997";"176697";"6731719";"2371930";"344383";"2,47825634608458"
"Setor";"08 Extração de minerais não-metálicos";"2007";"5978447";"2604849";"614147";"11652006";"5076856";"1196974";"1,85723964863579"
"Sub_Setor";"08.1 Extração de pedra, areia e argila";"2007";"4355519";"1906834";"482056";"8488916";"3716424";"939528";"1,82323966360946"
"Sub_Setor";"08.9 Extração de outros minerais não-metálicos";"2007";"1622929";"698015";"132091";"3163092";"1360433";"257446";"1,95508645883779"
"Setor";"09 Atividades de apoio à extração de minerais";"2007";"3286422";"917656";"793301";"6405244";"1788514";"1546145";"1,92080923132493"
"Sub_Setor";"09.1 Atividades de apoio à extração de petróleo e gás natural";"2007";"3285315";"917330";"793062";"6403086";"1787878";"1545680";"1,92079651916052"
"Sub_Setor";"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural";"2007";"1108";"326";"240";"2159";"635";"468";"1,95759717314488"
"Indústria";"C Indústrias de transformação";"2007";"1441075338";"848873667";"83491677";"2808658985";"1654456633";"162725461";"1,54561229380057"
"Setor";"10 Fabricação de produtos alimentícios";"2007";"232365339";"158370694";"10096229";"452880554";"308664829";"19677572";"1,37929354238873"
"Sub_Setor";"10.1 Abate e fabricação de produtos de carne";"2007";"66142637";"44540659";"3390054";"128912144";"86809842";"6607223";"1,37996355280590"
"Sub_Setor";"10.2 Preservação do pescado e fabricação de produtos do pescado";"2007";"1500188";"1023777";"87011";"2923870";"1995344";"169585";"1,35056194341314"
"Sub_Setor";"10.3 Fabricação de conservas de frutas, legumes e outros vegetais";"2007";"12321158";"7281190";"534695";"24013964";"14191055";"1042122";"1,57642519049346"
"Sub_Setor";"10.4 Fabricação de óleos e gorduras vegetais e animais";"2007";"45564640";"38320157";"551488";"88805583";"74686070";"1074851";"1,17218193364341"
"Sub_Setor";"10.5 Laticínios";"2007";"31690860";"20718811";"1010690";"61765555";"40381008";"1969837";"1,45842557544234"
"Sub_Setor";"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais";"2007";"26369299";"17552951";"770599";"51393821";"34210740";"1501899";"1,43909335254358"
"Sub_Setor";"10.7 Fabricação e refino de açúcar";"2007";"19324755";"11096335";"1996359";"37663990";"21626781";"3890908";"1,47599531463884"
"Sub_Setor";"10.8 Torrefação e moagem de café";"2007";"5738758";"4235798";"115431";"11184852";"8255580";"224975";"1,31888209055419"
"Sub_Setor";"10.9 Fabricação de outros produtos alimentícios";"2007";"23713044";"13601012";"1639902";"46216775";"26508402";"3196173";"1,55588070374257"
"Setor";"11 Fabricação de bebidas";"2007";"36235627";"17267281";"991303";"70623316";"33653968";"1932052";"1,98458034861849"
"Sub_Setor";"11.1 Fabricação de bebidas alcoólicas";"2007";"20169610";"9343337";"618992";"39310614";"18210184";"1206417";"2,02458782479478"
"Sub_Setor";"11.2 Fabricação de bebidas não-alcoólicas";"2007";"16066017";"7923946";"372311";"31312702";"15443788";"725635";"1,93653800744119"
"Setor";"12 Fabricação de produtos do fumo";"2007";"9819097";"5359744";"314079";"19137442";"10446153";"612141";"1,73059628402225"
"Sub_Setor";"12.1 Processamento industrial do fumo";"2007";"3875817";"2809815";"131570";"7553976";"5476336";"256430";"1,31768435617915"
"Sub_Setor";"12.2 Fabricação de produtos do fumo";"2007";"5943280";"2549930";"182509";"11583466";"4969819";"355710";"2,17508240806108"
