"Nível Territorial (Código)";"Nível Territorial";"Unidade de Medida (Código)";"Unidade de Medida";"Valor";"Brasil (Código)";"Brasil";"Variável (Código)";"Variável";"Ano (Código)";"Ano";"Classificação Nacional de Atividades Econômicas (CNAE 2.0) (Código)";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"1";"Brasil";"1020";"Unidades";156151;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117897";"Total"
"1";"Brasil";"1020";"Unidades";3334;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116880";"B Indústrias extrativas"
"1";"Brasil";"1020";"Unidades";28;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116881";"05 Extração de carvão mineral"
"1";"Brasil";"1020";"Unidades";28;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116882";"05.0 Extração de carvão mineral"
"1";"Brasil";"1020";"Unidades";8;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116884";"06 Extração de petróleo e gás natural"
"1";"Brasil";"1020";"Unidades";8;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116885";"06.0 Extração de petróleo e gás natural"
"1";"Brasil";"1020";"Unidades";116;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116887";"07 Extração de minerais metálicos"
"1";"Brasil";"1020";"Unidades";36;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116888";"07.1 Extração de minério de ferro"
"1";"Brasil";"1020";"Unidades";80;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116890";"07.2 Extração de minerais metálicos não-ferrosos"
"1";"Brasil";"1020";"Unidades";3128;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116897";"08 Extração de minerais não-metálicos"
"1";"Brasil";"1020";"Unidades";2706;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116898";"08.1 Extração de pedra, areia e argila"
"1";"Brasil";"1020";"Unidades";422;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116900";"08.9 Extração de outros minerais não-metálicos"
"1";"Brasil";"1020";"Unidades";55;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116905";"09 Atividades de apoio à extração de minerais"
"1";"Brasil";"1020";"Unidades";52;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116906";"09.1 Atividades de apoio à extração de petróleo e gás natural"
"1";"Brasil";"1020";"Unidades";3;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116908";"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
"1";"Brasil";"1020";"Unidades";152817;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116910";"C Indústrias de transformação"
"1";"Brasil";"1020";"Unidades";17603;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116911";"10 Fabricação de produtos alimentícios"
"1";"Brasil";"1020";"Unidades";1749;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116912";"10.1 Abate e fabricação de produtos de carne"
"1";"Brasil";"1020";"Unidades";169;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116916";"10.2 Preservação do pescado e fabricação de produtos do pescado"
"1";"Brasil";"1020";"Unidades";1232;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116918";"10.3 Fabricação de conservas de frutas, legumes e outros vegetais"
"1";"Brasil";"1020";"Unidades";129;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116922";"10.4 Fabricação de óleos e gorduras vegetais e animais"
"1";"Brasil";"1020";"Unidades";2752;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116926";"10.5 Laticínios"
"1";"Brasil";"1020";"Unidades";2089;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116930";"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais"
"1";"Brasil";"1020";"Unidades";212;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116938";"10.7 Fabricação e refino de açúcar"
"1";"Brasil";"1020";"Unidades";734;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116941";"10.8 Torrefação e moagem de café"
"1";"Brasil";"1020";"Unidades";8538;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116944";"10.9 Fabricação de outros produtos alimentícios"
"1";"Brasil";"1020";"Unidades";1217;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116952";"11 Fabricação de bebidas"
"1";"Brasil";"1020";"Unidades";564;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116953";"11.1 Fabricação de bebidas alcoólicas"
"1";"Brasil";"1020";"Unidades";653;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116957";"11.2 Fabricação de bebidas não-alcoólicas"
"1";"Brasil";"1020";"Unidades";77;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116960";"12 Fabricação de produtos do fumo"
"1";"Brasil";"1020";"Unidades";17;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116961";"12.1 Processamento industrial do fumo"
"1";"Brasil";"1020";"Unidades";60;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116963";"12.2 Fabricação de produtos do fumo"
"1";"Brasil";"1020";"Unidades";5083;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116965";"13 Fabricação de produtos têxteis"
"1";"Brasil";"1020";"Unidades";489;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116966";"13.1 Preparação e fiação de fibras têxteis"
"1";"Brasil";"1020";"Unidades";697;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116971";"13.2 Tecelagem, exceto malha"
"1";"Brasil";"1020";"Unidades";372;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116975";"13.3 Fabricação de tecidos de malha"
"1";"Brasil";"1020";"Unidades";1104;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116977";"13.4 Acabamentos em fios, tecidos e artefatos têxteis"
"1";"Brasil";"1020";"Unidades";2421;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116979";"13.5 Fabricação de artefatos têxteis, exceto vestuário"
"1";"Brasil";"1020";"Unidades";24974;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116985";"14 Confecção de artigos do vestuário e acessórios"
"1";"Brasil";"1020";"Unidades";24231;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116986";"14.1 Confecção de artigos do vestuário e acessórios"
"1";"Brasil";"1020";"Unidades";744;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116991";"14.2 Fabricação de artigos de malharia e tricotagem"
"1";"Brasil";"1020";"Unidades";7196;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116994";"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados"
"1";"Brasil";"1020";"Unidades";406;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116995";"15.1 Curtimento e outras preparações de couro"
"1";"Brasil";"1020";"Unidades";1469;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"116997";"15.2 Fabricação de artigos para viagem e de artefatos diversos de couro"
"1";"Brasil";"1020";"Unidades";4828;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117000";"15.3 Fabricação de calçados"
"1";"Brasil";"1020";"Unidades";494;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117005";"15.4 Fabricação de partes para calçados, de qualquer material"
"1";"Brasil";"1020";"Unidades";8497;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117007";"16 Fabricação de produtos de madeira"
"1";"Brasil";"1020";"Unidades";4187;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117008";"16.1 Desdobramento de madeira"
"1";"Brasil";"1020";"Unidades";4310;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117010";"16.2 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
"1";"Brasil";"1020";"Unidades";2926;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117015";"17 Fabricação de celulose, papel e produtos de papel"
"1";"Brasil";"1020";"Unidades";42;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117016";"17.1 Fabricação de celulose e outras pastas para a fabricação de papel"
"1";"Brasil";"1020";"Unidades";185;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117018";"17.2 Fabricação de papel, cartolina e papel-cartão"
"1";"Brasil";"1020";"Unidades";1189;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117021";"17.3 Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
"1";"Brasil";"1020";"Unidades";1509;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117025";"17.4 Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
"1";"Brasil";"1020";"Unidades";5414;"1";"Brasil";"630";"Número de empresas";"2007";"2007";"117029";"18 Impressão e reprodução de gravações"
