"Nível Territorial (Código)";"Nível Territorial";"Unidade de Medida (Código)";"Unidade de Medida";"Valor";"Brasil (Código)";"Brasil";"Variável (Código)";"Variável";"Ano (Código)";"Ano";"Classificação Nacional de Atividades Econômicas (CNAE 2.0) (Código)";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"1";"Brasil";"40";"Mil Reais";85799642;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"117897";"Total"
"1";"Brasil";"40";"Mil Reais";2307965;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116880";"B Indústrias extrativas"
"1";"Brasil";"40";"Mil Reais";104798;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116881";"05 Extração de carvão mineral"
"1";"Brasil";"40";"Mil Reais";104798;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116882";"05.0 Extração de carvão mineral"
"1";"Brasil";"40";"Mil Reais";20286;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116884";"06 Extração de petróleo e gás natural"
"1";"Brasil";"40";"Mil Reais";20286;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116885";"06.0 Extração de petróleo e gás natural"
"1";"Brasil";"40";"Mil Reais";775433;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116887";"07 Extração de minerais metálicos"
"1";"Brasil";"40";"Mil Reais";598736;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116888";"07.1 Extração de minério de ferro"
"1";"Brasil";"40";"Mil Reais";176697;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116890";"07.2 Extração de minerais metálicos não-ferrosos"
"1";"Brasil";"40";"Mil Reais";614147;"1";"Brasil";"819";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"2007";"2007";"116897";"08 Extração de minerais não-metálicos"
